student_id,age,gender,education_level,avg_sleep_hours,screen_time_hours,social_media_hours,study_hours_per_day,exercise_hours_per_week,caffeine_drinks_per_day,stress_level,anxiety_score,gpa,uses_sleep_app,feels_burned_out
70,20,Male,Undergraduate,6.9,5.3,3,4.6,5.1,1,7,6,2.91,TRUE,TRUE
71,23,Male,Undergraduate,8.2,7.4,4.7,2.6,5.6,1,7,6,2.72,TRUE,TRUE
72,24,Non-binary,Undergraduate,7.2,5.2,3.5,2.4,6.8,0,7,6,3.15,FALSE,TRUE
73,18,Male,High School,9.1,3.3,2.3,0.9,3,2,7,9,3.78,FALSE,TRUE
74,22,Female,Undergraduate,6.3,8,5,3.6,3.2,0,6,7,3.19,TRUE,FALSE
75,23,Male,Undergraduate,7.8,5.3,3.5,4.5,0,0,5,5,3.61,TRUE,FALSE
76,19,Male,Undergraduate,8,5.8,1.5,0.6,6.3,1,7,8,3.42,TRUE,TRUE
77,14,Female,Undergraduate,8.3,5,3.3,2.6,,4,7,6,3.6,FALSE,TRUE
78,21,Female,Undergraduate,6.3,6.3,2.7,3.5,,5,8,8,3.6,FALSE,TRUE
79,17,Male,Undergraduate,7.3,4.1,1.7,5.5,3.6,2,5,6,3.29,FALSE,FALSE
80,19,Male,High School,6.5,8.3,5.7,2.3,,1,7,5,3.16,FALSE,TRUE
81,19,Female,Undergraduate,7.4,8.2,3.5,4.8,6,2,8,10,3.09,TRUE,TRUE
82,18,Male,Graduate,8,7.4,5,2.1,5.9,1,6,4,2.92,TRUE,FALSE
83,22,Male,High School,6.5,7.4,2.2,4.9,,0,8,9,2.94,FALSE,TRUE
84,19,Female,Undergraduate,7,7,3.1,2.2,5.8,1,6,6,3.29,TRUE,FALSE
85,22,Male,High School,6.2,4.7,2.3,3.2,,2,6,4,3.43,FALSE,FALSE
86,17,Female,Undergraduate,7.3,5.6,3.6,4.1,4.3,0,7,9,3.63,FALSE,TRUE
87,22,Male,Graduate,7.5,8.9,5.1,0,8.4,0,7,5,3.52,FALSE,TRUE
88,17,Male,Undergraduate,8.8,2.7,2.1,0,2.9,3,7,7,3.53,TRUE,TRUE
89,19,Female,Undergraduate,6.7,6.2,6.1,4.4,5.2,4,6,6,2.79,FALSE,FALSE
90,19,Male,Undergraduate,7.4,7.1,3.9,4.7,4.2,0,5,7,3.68,FALSE,FALSE
91,24,Female,Graduate,6.9,5.1,3.2,5.1,2.6,3,8,8,3.05,TRUE,TRUE
92,16,Female,High School,6.6,7.2,5.1,4.3,3.1,3,8,7,3.09,FALSE,TRUE
93,18,Male,Undergraduate,9,4.9,3,3.9,1.1,2,4,6,3.53,FALSE,FALSE
94,20,Female,Undergraduate,7.7,5.4,1.6,2.9,2.7,2,8,10,3.15,FALSE,TRUE
95,19,Female,Undergraduate,6.9,8.1,3.2,3,6.5,1,5,5,3.85,FALSE,FALSE
96,22,Female,Undergraduate,7.8,6.4,4.2,3.6,4.9,0,7,8,3.6,FALSE,TRUE
97,16,Female,Graduate,7.9,6.2,3.9,0.4,4.6,0,5,4,2.53,FALSE,FALSE
98,23,Female,Undergraduate,7.2,8.3,4.8,3.4,8.1,0,7,7,3.39,FALSE,TRUE
99,18,Male,Undergraduate,8.2,6,4.2,3.4,6.9,2,5,7,3.28,TRUE,FALSE
100,19,Female,High School,5,8.9,4.5,3.4,3.6,1,8,9,3.18,FALSE,TRUE
101,19,Male,High School,7,8.6,3.1,0.4,0.1,2,7,6,2.52,FALSE,TRUE
102,26,Male,Graduate,8.3,6,4.1,3.7,2.1,5,7,8,3.2,FALSE,TRUE
103,19,Female,Graduate,8,5.5,2.4,1.9,0,0,10,8,3.14,TRUE,TRUE
104,20,Male,Undergraduate,6.1,7.6,,3.7,2.9,3,9,9,2.65,TRUE,TRUE
105,18,Male,High School,6.9,8.9,,5.5,7.5,0,8,7,3.34,TRUE,TRUE
106,24,Male,Undergraduate,7.9,5.9,,3.3,0.4,2,8,9,2.89,FALSE,TRUE
107,21,Female,Undergraduate,6.2,10.2,,2.3,4.9,1,10,9,3.12,TRUE,TRUE
108,17,Female,High School,7.9,7.4,4,1.1,1.5,0,8,10,3.51,FALSE,TRUE
109,19,Male,Undergraduate,6.8,6.3,2.6,3.7,2.9,2,8,10,2.88,FALSE,TRUE
110,21,Male,High School,8,3.8,2.3,3.4,5.6,2,3,3,3.72,FALSE,FALSE
111,18,Male,High School,8.9,4.5,2.5,2.7,0,0,7,9,3.8,FALSE,TRUE
112,21,Female,Undergraduate,7,6.6,4.1,2.6,5.2,0,6,5,3.28,FALSE,FALSE
113,15,Female,Undergraduate,6.3,9.1,4.7,3,3.4,1,9,8,3.15,FALSE,TRUE
114,27,Female,Undergraduate,7.1,4.6,2,2.4,2.8,2,7,6,3.23,FALSE,TRUE
115,23,Female,Undergraduate,6.7,7.4,2.8,2,2.5,3,9,7,3.15,FALSE,TRUE
116,21,Female,Undergraduate,7.8,4,3.2,2.3,4.1,1,5,5,3.52,TRUE,FALSE
117,21,Female,High School,6.5,9.4,3.5,4.3,5.7,6,9,7,2.48,FALSE,TRUE
118,17,Male,Undergraduate,8.7,3.1,1,1.4,3,2,7,6,3.52,TRUE,TRUE
119,19,Male,Graduate,9.1,4,0.8,3.9,4.6,3,6,4,3.72,FALSE,FALSE
120,21,Female,High School,7.2,7.4,4.9,3.5,7.1,3,7,7,3.43,FALSE,TRUE
121,18,Female,Undergraduate,7.9,6.6,4.2,2.9,3.2,1,8,10,3.11,FALSE,TRUE
122,20,Male,High School,6.7,8.1,5.3,3,0.1,0,9,7,2.7,TRUE,TRUE
123,14,Female,High School,8,4.3,3.4,3.2,5.4,0,7,7,3.56,TRUE,TRUE
124,24,Female,Undergraduate,7.2,5.8,1.7,2.2,8.1,2,7,6,3.4,FALSE,TRUE
125,21,Female,High School,6.6,8.5,4,1.4,4.3,2,8,8,2.92,FALSE,TRUE
126,18,Female,Undergraduate,7.3,6.8,3.7,4.2,2.6,1,10,10,3.48,FALSE,TRUE
127,22,Male,High School,7.9,4.2,1.3,1.7,2.5,3,7,5,3.49,FALSE,TRUE
128,21,Female,Undergraduate,7.1,6.6,3.4,4,2,1,7,7,3.13,TRUE,TRUE
129,21,Female,Graduate,6.2,6.9,4.6,4.1,2.3,0,10,10,2.66,FALSE,TRUE
130,16,Male,Undergraduate,7.7,6.4,3.4,1.6,2,0,9,7,3.09,FALSE,TRUE
131,18,Female,Undergraduate,6.1,10.4,6.3,4.4,6.1,2,6,4,2.75,TRUE,FALSE
132,19,Male,High School,6.9,7.4,4.5,0.3,4.6,2,8,6,3.1,FALSE,TRUE
133,20,Female,Graduate,6.8,8.9,5.7,4.7,0,1,8,6,2.78,FALSE,TRUE
134,21,Male,Undergraduate,7.2,9.3,5.8,2.5,4.6,0,10,10,2.82,FALSE,TRUE
135,15,Male,Graduate,7.2,4.4,3,4.3,0.3,2,9,8,3.18,FALSE,TRUE
136,24,Female,Undergraduate,7.6,5.2,3.8,3.7,4,0,5,3,3.85,FALSE,FALSE
137,18,Male,Undergraduate,4.7,8.1,5.7,4,4.5,0,9,10,3.16,TRUE,TRUE
138,16,Female,Undergraduate,7.6,7,3.8,1.5,5.7,0,6,7,3.14,TRUE,FALSE
139,21,Female,Undergraduate,8.1,8.2,4.2,6.6,5.4,2,4,5,3.68,FALSE,FALSE
140,22,Male,Undergraduate,8.5,5.2,4.2,4.4,5,0,4,6,3.74,TRUE,FALSE
141,17,Male,Undergraduate,6.7,6.1,2.9,4.7,6,2,7,7,3.31,FALSE,TRUE
142,17,Male,Undergraduate,7.2,5.9,3.9,4.6,4.8,2,6,4,3.37,FALSE,FALSE
143,20,Female,Undergraduate,7.6,6.2,2.2,3.7,3.6,2,7,8,3.99,FALSE,TRUE
144,23,Non-binary,High School,5.6,5.3,2.3,3.6,1.8,3,8,7,2.96,FALSE,TRUE
145,22,Male,Undergraduate,7,6.4,4.8,4.4,2.3,1,8,9,2.77,TRUE,TRUE
146,19,Female,Undergraduate,6.1,10.8,6.6,2.9,2.1,3,10,10,2.79,FALSE,TRUE
147,20,Female,Graduate,5.4,11.7,7.7,2.1,3.1,3,10,9,2.38,FALSE,TRUE
148,15,Male,Undergraduate,7.6,9.1,4.2,4.6,6.5,3,9,7,2.93,FALSE,TRUE
149,19,Non-binary,Graduate,7,5,3.1,2.7,5,2,8,9,3.45,FALSE,TRUE
150,22,Male,High School,7.5,4,2.9,2.6,1.6,1,6,5,3.51,FALSE,FALSE
151,14,Male,High School,7.4,11.5,5,0,4.3,2,10,8,2.75,FALSE,TRUE
152,22,Female,Undergraduate,9.5,3.5,1,4.1,5.3,3,4,6,4,TRUE,FALSE
153,16,Male,High School,8.9,6.2,3.1,3.1,3,3,5,6,3.31,TRUE,FALSE
154,16,Male,Undergraduate,6.1,9.1,4.4,3.9,4.6,3,10,10,3.37,TRUE,TRUE
155,21,Female,Graduate,7.5,5.6,4.2,3.3,1.2,1,6,8,3.48,TRUE,FALSE
156,18,Female,High School,5.8,7.2,3,4.5,3.1,2,8,9,2.97,TRUE,TRUE
157,23,Female,Graduate,7.1,5.6,3.2,3.6,3.1,4,7,8,3.42,TRUE,TRUE
158,14,Female,Undergraduate,8.2,5,4.5,4.4,1.7,5,7,5,2.93,FALSE,TRUE
159,20,Female,Undergraduate,6.4,8.8,4.2,4.2,6.3,0,8,7,3.24,FALSE,TRUE
160,26,Female,High School,9.3,3.2,2.9,3.6,5.5,3,5,6,4,FALSE,FALSE
161,23,Male,Undergraduate,7.7,5.4,2.3,2.6,4.4,0,4,2,3.51,FALSE,FALSE
162,17,Female,Undergraduate,7.6,5.7,3.1,4.9,0.9,4,7,8,3.14,FALSE,TRUE
163,16,Female,Undergraduate,6,9,2.7,2.2,7,2,9,9,3.12,TRUE,TRUE
164,20,Female,Undergraduate,8.2,5.6,3.8,2.5,3.8,3,7,7,3.24,TRUE,TRUE
165,17,Male,Undergraduate,7.1,4.9,3.9,2.4,3.5,1,5,3,3.25,FALSE,FALSE
166,17,Male,Undergraduate,7.6,6.9,4.6,5.1,7.9,3,6,7,2.98,TRUE,FALSE
167,17,Female,Undergraduate,8,4.3,2.6,1.7,4.8,2,6,4,3.5,TRUE,FALSE
168,19,Male,High School,6.8,9.7,5.1,3.1,2.6,3,6,7,2.85,TRUE,FALSE
169,22,Male,Graduate,8.8,5.5,3.2,2.7,2.2,1,7,5,3.01,FALSE,TRUE
170,21,Male,Undergraduate,8.4,6.5,4.7,2,1.7,3,7,8,3.44,FALSE,TRUE
171,16,Male,Undergraduate,7.2,7.2,0.9,1.8,4.3,2,7,7,3.12,FALSE,TRUE
172,22,Female,High School,7.6,6.8,2.9,4.5,8.5,5,7,5,3.26,FALSE,TRUE
173,14,Non-binary,High School,8.7,5.5,3.6,4.2,3.4,3,4,2,3.83,TRUE,FALSE
174,19,Male,Undergraduate,7.4,3.5,1.6,3,1.1,0,8,8,3.5,FALSE,TRUE
175,23,Female,Undergraduate,7.6,7.4,4.1,2.9,1.7,2,8,7,2.91,FALSE,TRUE
176,17,Female,Graduate,8.3,6.1,4.5,2.5,2.2,1,5,3,3.19,FALSE,FALSE
177,16,Male,Undergraduate,8.1,6.3,3.8,1.3,5.4,2,6,6,3.86,FALSE,FALSE
178,20,Male,Undergraduate,8.2,6.7,3.5,3.9,4.8,1,7,8,3.81,TRUE,TRUE
179,19,Female,Graduate,7.1,8.9,5.7,2.1,3.7,2,7,5,2.97,TRUE,TRUE
180,24,Male,Undergraduate,8.5,1,1.1,0.2,5.9,0,4,3,3.84,FALSE,FALSE
181,17,Female,Undergraduate,6.8,4.7,2.1,1.7,6.1,1,6,5,3.73,FALSE,FALSE
182,17,Female,Undergraduate,8.2,8,4.9,4.1,2.8,0,5,5,3.69,FALSE,FALSE
183,19,Female,Undergraduate,7.8,7.7,4.2,3.8,2.6,2,7,7,2.98,TRUE,TRUE
184,18,Male,Undergraduate,8,5.6,2.4,3,5.9,1,7,9,3.13,FALSE,TRUE
185,23,Female,High School,7.2,5.9,1.3,4.5,6.1,2,7,5,3.15,FALSE,TRUE
186,22,Male,High School,9,3.2,1.4,1.9,2.9,3,4,3,3.9,TRUE,FALSE
187,22,Male,High School,7,7,4.6,3.7,0,3,7,7,3.21,TRUE,TRUE
188,20,Female,Undergraduate,5.9,10.7,7.4,4.3,5.9,0,10,10,3.59,FALSE,TRUE
189,20,Male,Undergraduate,7.7,6.6,3.4,1.5,3,1,7,6,3.6,FALSE,TRUE
190,16,Male,High School,8.8,8.4,2.2,2,0.6,2,7,9,3.97,FALSE,TRUE
191,18,Male,High School,5.5,7.7,4.9,6.1,5.8,4,6,8,3.48,FALSE,FALSE
192,18,Male,High School,7.6,5.5,3.1,2.2,6.3,2,7,6,3.58,TRUE,TRUE
193,19,Female,Graduate,7.6,5.1,5,3,5.2,1,7,9,3.04,FALSE,TRUE
194,16,Female,Undergraduate,6.6,7.9,4.6,2.9,5.4,1,7,8,3.49,TRUE,TRUE
195,22,Female,High School,8.6,4.9,3,3.3,6.1,2,7,8,3.72,FALSE,TRUE
196,23,Prefer not to say,Graduate,7.9,8.9,5.4,2.5,2.4,3,8,6,2.75,FALSE,TRUE
197,22,Male,High School,7.8,7.5,1.9,2.3,6.3,0,6,5,2.78,FALSE,FALSE
198,24,Female,High School,6.8,6.6,4.6,6.8,2.7,2,8,7,3.15,FALSE,TRUE
199,21,Male,Graduate,8.2,5.3,3.1,2.4,0.9,2,6,7,3.42,TRUE,FALSE
200,18,Female,Undergraduate,7.8,6.8,3.4,3.6,4.7,1,9,8,3.66,FALSE,TRUE
201,21,Male,Undergraduate,7,7.1,5.8,2.5,1.7,1,9,10,2.3,TRUE,TRUE
202,26,Male,Undergraduate,7.9,4.6,2.6,3.3,3.3,2,8,8,3.11,TRUE,TRUE
203,18,Male,Undergraduate,8.4,6.9,3.9,5,0.8,3,7,7,3.11,FALSE,TRUE
204,23,Female,Undergraduate,5.1,9.2,5.3,2.7,2,1,8,8,2.27,FALSE,TRUE
205,23,Male,Graduate,9,5.9,2.9,1.9,4.9,0,6,5,3.63,FALSE,FALSE
206,20,Male,Undergraduate,7.1,6,4.5,3.3,5.4,2,10,10,2.67,TRUE,TRUE
207,18,Female,High School,7.8,4.8,3,6.9,3.7,4,7,6,2.85,FALSE,TRUE
208,18,Male,Undergraduate,6.9,8.1,4.1,0,1.7,0,9,10,3.26,FALSE,TRUE
209,25,Female,Graduate,7.5,4.5,4.1,5.5,5.5,3,6,8,3.71,FALSE,FALSE
210,17,Male,Undergraduate,8,2.3,0.8,1.5,7.1,2,5,4,3.43,FALSE,FALSE
211,20,Female,Graduate,7.7,5.7,0.5,2,1.1,4,6,8,3.07,TRUE,FALSE
212,16,Male,Undergraduate,6.4,5.3,4.5,3.3,2.8,5,6,6,3.26,FALSE,FALSE
213,16,Female,High School,6.6,8.4,3.6,3.4,2.7,3,8,7,3.41,TRUE,TRUE
214,23,Female,Graduate,7.5,8.1,2.9,5.2,0.9,1,6,5,3.45,FALSE,FALSE
215,22,Male,Undergraduate,7.7,5.3,4.2,0.9,1.6,3,8,10,2.59,TRUE,TRUE
216,18,Male,High School,7.7,4.3,1.3,4.7,3.5,2,6,4,2.93,FALSE,FALSE
217,21,Male,Undergraduate,8.4,3.6,2.8,3.6,4.3,1,6,7,2.99,TRUE,FALSE
218,18,Female,Graduate,8.5,6.4,4.1,4,7.8,3,5,6,3.39,FALSE,FALSE
219,19,Male,Undergraduate,8.5,5.6,3.7,3.1,1.4,1,7,5,3.11,FALSE,TRUE
220,16,Female,Undergraduate,5.7,8.2,4.8,0.1,0.4,0,7,6,3.12,TRUE,TRUE
221,17,Female,Undergraduate,7.8,7.5,4.1,4.6,0,1,9,10,3.27,TRUE,TRUE
222,24,Female,Undergraduate,7.7,5.9,1.6,1.2,4.6,1,5,7,3.43,FALSE,FALSE
223,19,Male,High School,6.6,6.8,2.8,2.4,5.5,4,7,7,3.02,FALSE,TRUE
224,18,Female,Undergraduate,6,11,7.2,4.7,2.4,0,10,10,2.82,TRUE,TRUE
225,18,Male,High School,7.7,5,4.7,1.3,3.5,5,9,9,2.97,FALSE,TRUE
226,18,Female,Undergraduate,7.2,5,0.5,2.4,1.2,2,7,8,2.88,FALSE,TRUE
227,18,Female,Undergraduate,9,3.6,2.5,5.3,2.9,2,5,3,3.76,FALSE,FALSE
228,20,Female,Undergraduate,8.9,5.7,4.4,3.1,4.3,2,6,5,2.86,TRUE,FALSE
229,21,Male,Undergraduate,6.8,6.7,3.5,3.4,9.4,1,7,9,3.21,TRUE,TRUE
230,21,Female,Undergraduate,6.4,7.4,1.9,2.6,0.7,3,6,4,3.17,TRUE,FALSE
231,22,Female,High School,7.8,5.2,4.6,2.5,0.5,4,6,8,3.45,FALSE,FALSE
232,22,Female,Undergraduate,8.1,7,3.5,4.4,0.6,3,7,9,3.3,FALSE,TRUE
233,18,Male,Undergraduate,7.2,1.3,0,2.2,2.8,3,7,8,3.52,FALSE,TRUE
234,18,Male,Undergraduate,8.3,3.5,1,3.3,7.2,1,5,3,3.39,TRUE,FALSE
235,20,Male,High School,7.7,7.5,5.3,5.4,2.9,1,7,6,3.44,TRUE,TRUE
236,21,Female,High School,6.7,7.7,4.1,2.6,4.2,1,9,7,2.9,FALSE,TRUE
237,15,Male,High School,6.8,10,2.9,1.5,0,3,10,10,3.05,FALSE,TRUE
238,19,Male,Graduate,7.7,5.2,4.8,4.8,0.3,1,6,5,3.56,FALSE,FALSE
239,14,Male,High School,8.1,6.1,3.8,4.8,2.8,3,8,9,3.14,FALSE,TRUE
240,21,Male,Undergraduate,8.6,5.8,2.5,1.4,9.7,1,6,4,3.63,FALSE,FALSE
241,21,Male,High School,7.3,7.7,5.5,4.6,0,2,7,5,3.27,FALSE,TRUE
242,17,Male,Undergraduate,8.5,4.8,1.9,4.5,6.5,2,6,6,3.77,FALSE,FALSE
243,20,Male,High School,5.7,7.1,3.7,0,2.7,3,8,6,3.37,FALSE,TRUE
244,18,Male,Undergraduate,6,8.5,4.9,3.4,0,1,10,10,2.67,FALSE,TRUE
245,20,Non-binary,High School,6.7,8.6,5.1,3.7,0.2,2,8,10,2.83,TRUE,TRUE
246,19,Female,Undergraduate,5.4,10.3,6.3,3.7,7.5,0,8,7,2.9,TRUE,TRUE
247,24,Male,Graduate,7.9,3.5,0.6,5.7,2.5,0,6,7,3.9,FALSE,FALSE
248,20,Female,High School,7.4,7.4,1.8,4.6,3.4,2,10,10,3.17,FALSE,TRUE
249,21,Female,Undergraduate,7.9,4.5,3.5,4,6.6,0,5,3,3.19,FALSE,FALSE
250,19,Female,Graduate,8.8,2.9,0.5,3,3.8,2,6,6,3.44,FALSE,FALSE
251,19,Male,High School,9.3,2.8,1.7,6.5,5.7,1,4,5,3.2,TRUE,FALSE
252,22,Female,Undergraduate,7.4,7.9,5.2,3.8,3.3,0,9,10,3.23,FALSE,TRUE
253,18,Non-binary,High School,7.8,5.2,3.9,3.6,1.9,3,8,10,2.88,FALSE,TRUE
254,21,Female,Undergraduate,7.5,4.6,1.5,1.2,2,1,7,6,3.75,FALSE,TRUE
255,20,Male,Undergraduate,7.9,8.7,3.9,2.7,6.6,3,5,6,3.05,FALSE,FALSE
256,21,Female,Undergraduate,7.7,5.7,2.2,2.8,4.5,1,6,6,3.7,FALSE,FALSE
257,18,Female,Undergraduate,5.8,6.9,3,4.9,3.7,0,9,10,2.43,TRUE,TRUE
258,20,Male,Undergraduate,9.1,2.9,1.8,3.3,0,2,7,8,3.44,TRUE,TRUE
259,17,Male,Undergraduate,7.7,7.1,2.3,2.4,5.5,3,8,6,3.84,FALSE,TRUE
260,22,Male,Graduate,7.4,6.8,2.4,3.7,9,3,5,4,3.15,FALSE,FALSE
261,18,Male,Graduate,7.3,7.9,4.2,5.2,4.8,3,8,7,2.84,FALSE,TRUE
262,16,Male,Undergraduate,7,5.4,3.6,5.4,2.6,2,7,8,3.46,FALSE,TRUE
263,17,Female,Undergraduate,6.8,7.4,3.2,3.7,5.1,2,8,8,3.06,TRUE,TRUE
264,18,Male,Undergraduate,7.5,4.5,2.2,2.3,6.6,0,6,5,3.64,TRUE,FALSE
265,22,Female,Undergraduate,8.5,6.8,1.8,2.2,0,2,8,8,3.75,FALSE,TRUE
266,22,Male,Graduate,5.9,10.3,6.5,3,0.8,2,9,10,2.83,FALSE,TRUE
267,19,Female,Undergraduate,7.2,4.4,2.9,2.8,2.1,1,10,9,3.08,TRUE,TRUE
268,14,Female,Undergraduate,8,5.5,3.7,2.7,4.4,1,8,8,2.95,TRUE,TRUE
